RESUMER ZONES HYDROTEL VERSION;4.1.4.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
235;SOUS-BASSIN;378.034973;0.085916;8;2801;7.002500;-71.66694;45.92364
236;SOUS-BASSIN;468.748016;0.091155;6;1905;4.762500;-71.64780;45.94782
237;SOUS-BASSIN;310.874695;0.088798;3;1269;3.172500;-71.64205;45.88600
238;SOUS-BASSIN;311.916656;0.059583;6;1644;4.110000;-71.63666;45.89902
239;SOUS-BASSIN;415.754578;0.085471;6;3545;8.862500;-71.60581;45.92496
240;SOUS-BASSIN;403.817291;0.077315;8;2616;6.540000;-71.62266;45.92192
241;SOUS-BASSIN;499.078827;0.113848;6;482;1.205000;-71.62282;45.94795
242;SOUS-BASSIN;341.014709;0.093291;3;1156;2.890000;-71.61777;45.87824
243;SOUS-BASSIN;322.641296;0.095963;7;276;0.690000;-71.60946;45.89216
244;SOUS-BASSIN;428.472748;0.092277;5;899;2.247500;-71.58250;45.90684
245;SOUS-BASSIN;374.657135;0.083444;8;420;1.050000;-71.59889;45.90388
246;SOUS-BASSIN;430.864807;0.060946;5;3033;7.582500;-71.57595;45.92288
247;SOUS-BASSIN;370.605438;0.101054;5;5396;13.490000;-71.58793;45.88070
248;SOUS-BASSIN;359.149109;0.071710;7;228;0.570000;-71.59443;45.89724
249;SOUS-BASSIN;420.466675;0.069808;6;30;0.075000;-71.58293;45.90481
250;SOUS-BASSIN;303.287384;0.071308;2;6246;15.615000;-71.69880;45.85644
251;SOUS-BASSIN;298.216095;0.056223;5;6446;16.115000;-71.66036;45.86863
252;SOUS-BASSIN;269.618195;0.082194;2;220;0.550000;-71.65934;45.83250
253;SOUS-BASSIN;328.983429;0.060928;5;4164;10.410000;-71.63033;45.84894
254;SOUS-BASSIN;306.097656;0.055046;3;553;1.382500;-71.64423;45.82006
255;SOUS-BASSIN;304.446259;0.079957;7;493;1.232500;-71.64157;45.83202
256;SOUS-BASSIN;323.026855;0.084014;6;298;0.745000;-71.62059;45.83155
257;SOUS-BASSIN;326.471191;0.076379;6;399;0.997500;-71.62624;45.83483
258;SOUS-BASSIN;300.843140;0.088135;6;51;0.127500;-71.62616;45.83146
259;SOUS-BASSIN;359.104156;0.084401;3;1296;3.240000;-71.63354;45.81110
260;SOUS-BASSIN;292.358826;0.044981;6;170;0.425000;-71.62733;45.82490
261;SOUS-BASSIN;351.088501;0.064924;4;3028;7.570000;-71.58947;45.82658
262;SOUS-BASSIN;339.810028;0.061225;8;1395;3.487500;-71.60470;45.83839
263;SOUS-BASSIN;365.891785;0.058446;4;1109;2.772500;-71.56236;45.86130
264;SOUS-BASSIN;352.397980;0.054053;8;1186;2.965000;-71.58079;45.86163
265;SOUS-BASSIN;356.828369;0.031222;5;134;0.335000;-71.55338;45.87833
266;SOUS-BASSIN;434.620056;0.095074;8;1945;4.862500;-71.55793;45.89384
267;SOUS-BASSIN;391.443298;0.100320;7;388;0.970000;-71.54800;45.89082
268;SOUS-BASSIN;396.532135;0.079918;5;2054;5.135000;-71.53185;45.88213
269;SOUS-BASSIN;382.344391;0.069717;8;1356;3.390000;-71.53923;45.89149
270;SOUS-BASSIN;415.950012;0.063405;5;240;0.600000;-71.52020;45.90364
271;SOUS-BASSIN;369.684540;0.060971;4;5002;12.505000;-71.55630;45.83916
272;SOUS-BASSIN;340.850586;0.064094;7;174;0.435000;-71.58037;45.85213
273;SOUS-BASSIN;364.546326;0.036983;5;421;1.052500;-71.56558;45.85529
274;SOUS-BASSIN;386.715240;0.110943;3;2662;6.655000;-71.61327;45.80162
275;SOUS-BASSIN;344.665009;0.072031;6;997;2.492500;-71.60292;45.81306
276;SOUS-BASSIN;392.348938;0.079437;4;4124;10.310000;-71.58530;45.79498
277;SOUS-BASSIN;322.031586;0.069830;1;950;2.375000;-71.67299;45.81621
278;SOUS-BASSIN;342.833832;0.073916;4;1691;4.227500;-71.65134;45.80907
279;SOUS-BASSIN;314.413940;0.046510;1;215;0.537500;-71.66894;45.80873
280;SOUS-BASSIN;314.754272;0.110155;8;525;1.312500;-71.68258;45.83599
281;SOUS-BASSIN;309.504883;0.063042;3;1329;3.322500;-71.67615;45.82596
282;SOUS-BASSIN;335.491760;0.064916;3;1700;4.250000;-71.69772;45.82419
283;SOUS-BASSIN;298.615784;0.050196;1;2332;5.830000;-71.80042;45.89884
284;SOUS-BASSIN;330.742035;0.072756;3;2795;6.987500;-71.78348;45.88221
285;SOUS-BASSIN;366.712097;0.068853;2;844;2.110000;-71.80743;45.88168
286;SOUS-BASSIN;178.500000;0.146158;1;2;0.005000;-71.82666;45.94968
287;SOUS-BASSIN;286.130219;0.040003;3;1605;4.012500;-71.82851;45.93034
288;SOUS-BASSIN;289.894257;0.073443;2;1239;3.097500;-71.84290;45.93951
289;SOUS-BASSIN;121.211937;0.016951;3;821;2.052500;-72.04727;45.99758
290;SOUS-BASSIN;114.596428;0.033144;5;280;0.700000;-72.03879;46.00368
291;SOUS-BASSIN;123.971191;0.013378;4;2430;6.075000;-71.99632;45.99526
292;SOUS-BASSIN;139.652969;0.025048;6;7639;19.097500;-71.97550;46.01359
293;SOUS-BASSIN;152.286926;0.030064;5;352;0.880000;-71.96126;45.99664
294;SOUS-BASSIN;129.796753;0.021879;2;1845;4.612500;-72.03287;45.97983
295;SOUS-BASSIN;118.313377;0.019822;5;1136;2.840000;-72.02014;45.98871
296;SOUS-BASSIN;134.811203;0.028696;1;1875;4.687500;-72.01756;45.95862
297;SOUS-BASSIN;123.682564;0.025818;5;671;1.677500;-72.00459;45.96036
298;SOUS-BASSIN;162.536194;0.069015;4;1699;4.247500;-71.96620;45.94381
299;SOUS-BASSIN;166.869934;0.059659;7;3752;9.380000;-71.96521;45.95467
300;SOUS-BASSIN;192.150436;0.061305;5;1037;2.592500;-71.91587;45.96147
301;SOUS-BASSIN;196.609879;0.074273;8;1479;3.697500;-71.93188;45.97452
302;SOUS-BASSIN;230.020538;0.062903;5;4091;10.227500;-71.90061;45.97347
303;SOUS-BASSIN;223.825165;0.063872;2;4370;10.925000;-71.92991;45.92744
304;SOUS-BASSIN;224.241196;0.056034;5;3831;9.577500;-71.90603;45.94338
305;SOUS-BASSIN;235.042938;0.051736;3;955;2.387500;-71.90142;45.91176
