No_Simulation,KGE,bv3c_C1,bv3c_C2,bv3c_C3,bv3c_CR,djm_SFF,djm_SFC,djm_SFO,djm_TFF,djm_TFC,djm_TFO,ETP,THI,Conductivite,Manning_riviere
72,0.76218,0.087467,0.1,9.777,5.8296e-09,0.90714,1.1694,0.64489,4.6302,3.495,6.1341,0.52626,0.95909,0.11211,0.047995
73,0.83986,0.087467,0.1,10,2.4177e-09,0.90714,1.9608,-0.14651,4.6302,3.495,6.1341,0.7419,0.75328,0.11211,0.047995
74,0.85738,0.087467,0.1,9.2144,2.6238e-09,0.90714,1.4166,0.39771,5.1103,3.8574,6.7701,0.7419,0.95909,0.1668,0.03726
75,0.77759,0.087467,0.1,9.2144,2.6814e-09,0.90714,0.90714,0.90714,5.1103,3.8574,6.7701,0.55659,0.95909,0.17093,0.057491
76,0.80224,0.087467,0.1,9.2144,2.6238e-09,1,1.1531,0.84686,8.8914,6.7115,11.779,0.7419,0.95909,0.17638,0.057609
77,0.86501,0.087467,0.1,9.2144,2.6238e-09,1,1.0979,0.90207,5.1103,3.8574,6.7701,0.71669,0.95909,0.1668,0.023855
78,0.79518,0.087467,0.21651,9.2144,1.0853e-09,1,1.0979,0.90207,5.1103,3.8574,6.7701,0.71669,0.95909,0.1668,0.023855
79,0.69693,0.087467,0.33782,9.2144,2.6238e-09,1,1.0979,0.90207,5.1103,3.8574,6.7701,0.88421,1,0.2,0.023855
80,0.86276,0.087467,0.1,9.2144,6.7401e-09,1,1.0979,0.90207,5.1103,3.6067,7.2407,0.71669,0.49506,0.1668,0.023855
81,0.85072,0.12725,0.1,9.2144,2.6238e-09,1,1.0979,0.90207,5.1103,3.8574,6.7701,0.71669,0.95909,0.1668,0.023855
82,0.81065,0.087467,0.1,9.2144,2.9959e-08,1,2.7566,-0.75661,5.1103,3.8149,6.8455,0.71669,0.95909,0.1668,0.045343
83,0.85396,0.087467,0.1,9.2144,8.378e-09,1,1.0979,0.90207,7.0598,5.329,9.3528,0.71669,0.95909,0.12995,0.023855
84,0.86676,0.087467,0.1,9.2144,2.6238e-09,0.93822,1.0361,0.84029,5.1103,3.8574,6.7701,0.71669,0.95909,0.1668,0.021
85,0.77794,0.087467,0.23681,8.6816,2.7848e-09,0.93822,1.0361,0.84029,5.1103,3.8574,6.7701,0.71669,0.95909,0.1668,0.021
86,0.8606,0.087467,0.1,9.2144,2.6238e-09,0.93822,1.0361,0.84029,5.1103,3.8574,6.7701,0.71669,0.95909,0.1668,0.03416
87,0.8528,0.087467,0.1,9.2144,7.9984e-09,0.67995,0.77788,0.58203,5.1103,3.8574,6.7701,0.71669,0.75052,0.1668,0.041945
88,0.845,0.087467,0.1,9.2144,2.6238e-09,0.91454,1.1172,0.71186,5.1103,4.7683,5.4767,0.71669,0.54999,0.19586,0.053073
89,0.86072,0.087467,0.1,9.2144,2.6238e-09,0.93822,1.0361,0.84029,5.1103,3.8574,6.7701,0.76683,0.95909,0.1668,0.021
90,0.86296,0.079469,0.1,9.2144,2.6238e-09,0.93822,1.0361,0.84029,4.4092,3.3282,5.8412,0.71669,0.5817,0.1668,0.021
91,0.80213,0.087467,0.20047,9.2144,2.6238e-09,0.93822,1.0361,0.84029,5.1103,3.8574,6.7701,0.71669,1,0.1668,0.030762
92,0.8581,0.087467,0.1,9.2144,2.6238e-09,0.93822,1.0361,0.84029,6.9522,5.2477,9.2102,0.71669,1,0.1668,0.021
93,0.86631,0.094665,0.1,9.2073,2.6258e-09,0.93822,1.0361,0.84029,5.1103,3.8574,6.7701,0.71669,0.95909,0.12136,0.021
